Macro,Sector,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
US_Fed_Funds_Rate,Nifty_50_Return,-0.026951749060206913,0.7240737157964047,-0.06264357763669273,0.4115457427912144
US_Fed_Funds_Rate,Nifty_Bank_Return,-0.030129073478038584,0.6930976538641835,-0.03380406068329915,0.6578968075690651
US_Fed_Funds_Rate,Nifty_IT_Return,-0.07719659938318504,0.3113156755981598,-0.16016555553710526,0.03475947696808168
US_Fed_Funds_Rate,Nifty_Pharma_Return,-0.003962093816599864,0.9586186486969254,-0.08111263832175841,0.28733254720585555
US_Fed_Funds_Rate,Nifty_Auto_Return,-0.009678049728041229,0.8991421881090693,-0.08739444554995043,0.25150637051400604
US_Fed_Funds_Rate,Nifty_FMCG_Return,-0.06547990723657193,0.39065208230207066,-0.0369004852701803,0.6288066823020931
US_Fed_Funds_Rate,Nifty_Metal_Return,0.010802545717909277,0.8874967485375774,-0.01602043321249336,0.833812597070036
US_Fed_Funds_Rate,Nifty_Realty_Return,0.036594449593660136,0.6316574511759069,0.059939480879604254,0.43206440090473347
US_Fed_Funds_Rate,Nifty_Energy_Return,-0.011379662191939012,0.8815292238850178,-0.015047597053152801,0.8437712610169195
US_Fed_Funds_Rate,Nifty_Infra_Return,0.05248567041241433,0.49156761987106107,0.016908873268913403,0.8247408611630789
US_Fed_Funds_Rate,Nifty_PSE_Return,0.10670124727448345,0.16111088354083927,0.04684097760876449,0.5393749538279589
US_Fed_Funds_Rate,Nifty_Media_Return,-0.1301965743537761,0.08683619115515602,-0.1515354837695437,0.045931232296589256
US_CPI,Nifty_50_Return,-0.01475406991784912,0.8467809645241059,0.005164164977652078,0.9460805946766031
US_CPI,Nifty_Bank_Return,-0.018417130823283903,0.809393867499942,0.0050992427448055475,0.9467574476391378
US_CPI,Nifty_IT_Return,-0.092188887986336,0.22632949410776468,-0.05387520238374966,0.4801549043842131
US_CPI,Nifty_Pharma_Return,-0.00024292157534134412,0.9974617265376977,-0.030397272810670197,0.6905052296271322
US_CPI,Nifty_Auto_Return,0.033710811239965985,0.6587811658103092,0.02853616880240299,0.7085673110205148
