Sector,Regime,Sharpe_Ratio,Max_Drawdown,VaR_95,VaR_99,Months
Nifty_50,Recovery,-0.5008905636141698,-0.18550582531314233,-0.06359934689940125,-0.07369652874082896,10
Nifty_Bank,Recovery,-0.15744564914043901,-0.2605899289953265,-0.09306571764147184,-0.09983768347553348,10
Nifty_IT,Recovery,-0.6370302886449445,-0.1962998490102851,-0.08760596745525787,-0.08915573427148686,10
Nifty_Pharma,Recovery,0.5417274415332188,-0.08783199917877749,-0.056212125141918604,-0.060258369969015485,10
Nifty_Auto,Recovery,-0.6229679592596622,-0.23335873080424369,-0.07362846070815171,-0.07769067063885914,10
Nifty_FMCG,Recovery,-0.8737189228623657,-0.20062045171760298,-0.0780729207965698,-0.0948152598939638,10
Nifty_Metal,Recovery,-0.1800339588367174,-0.20348713337747576,-0.10096867920674743,-0.10672091321107348,10
Nifty_Realty,Recovery,-0.4622789126346026,-0.3613269466959741,-0.1387526625447633,-0.14888371147561416,10
Nifty_Energy,Recovery,-0.6237131727751862,-0.18147227663481588,-0.09421397238374107,-0.09887234068650197,10
Nifty_Infra,Recovery,-0.5450151954354426,-0.22626284270593658,-0.12420950833220924,-0.12441399762916593,10
Nifty_PSE,Recovery,-1.2874697995829187,-0.22153459859052074,-0.09673636154985851,-0.11754994879748619,10
Nifty_Media,Recovery,-0.8999407704223246,-0.23422820943925612,-0.09552223748012101,-0.11712744640627308,10
Nifty_50,Expansion,1.7799424766457745,-0.10043725144183344,-0.0294274189227046,-0.03457744204767124,31
Nifty_Bank,Expansion,1.68134362867816,-0.10078827553789711,-0.0508785571865155,-0.08681919057179599,31
Nifty_IT,Expansion,0.39420057802938824,-0.16225814214696443,-0.0858059838794068,-0.1437749672970597,31
Nifty_Pharma,Expansion,0.9633226987017856,-0.15788520240884577,-0.0536689152344735,-0.07196444681846927,31
Nifty_Auto,Expansion,1.4253518425127236,-0.11346031180851347,-0.04946517667986535,-0.0927126306975705,31
Nifty_FMCG,Expansion,1.7317427453229053,-0.05995121076069617,-0.030438758304016753,-0.03280247276445452,31
Nifty_Metal,Expansion,0.4748999227017147,-0.24100074268956714,-0.07945464709261335,-0.15475417688986498,31
Nifty_Realty,Expansion,1.528941428249392,-0.1705891197636549,-0.0906050828934053,-0.15268134169091252,31
Nifty_Energy,Expansion,1.379863122204839,-0.24309941015887704,-0.06961867864488645,-0.0849667033175385,31
Nifty_Infra,Expansion,1.3406182265526032,-0.11863145718660732,-0.0604122420761435,-0.08111044790690446,31
Nifty_PSE,Expansion,2.0342543619833444,-0.05359438867350595,-0.0379424588135739,-0.04926040416663075,31
Nifty_Media,Expansion,0.3444242255218727,-0.24113925983382017,-0.1006889734159903,-0.1377693221283862,31
Nifty_50,Contraction,,,,,3
Nifty_Bank,Contraction,,,,,3
Nifty_IT,Contraction,,,,,3
Nifty_Pharma,Contraction,,,,,3
Nifty_Auto,Contraction,,,,,3
Nifty_FMCG,Contraction,,,,,3
Nifty_Metal,Contraction,,,,,3
Nifty_Realty,Contraction,,,,,3
Nifty_Energy,Contraction,,,,,3
Nifty_Infra,Contraction,,,,,3
Nifty_PSE,Contraction,,,,,3
Nifty_Media,Contraction,,,,,3
