Macro,Sector,Lag,F_Statistic,P_Value
US_Fed_Funds_Rate,Nifty_50_Return,1,0.3101453793808714,0.5783234197998348
US_Fed_Funds_Rate,Nifty_50_Return,2,0.2997030744310036,0.7414359485192666
US_Fed_Funds_Rate,Nifty_50_Return,3,0.7419228150879265,0.5285066034181118
US_Fed_Funds_Rate,Nifty_Bank_Return,1,0.3828247709409198,0.5369235067859818
US_Fed_Funds_Rate,Nifty_Bank_Return,2,0.20624408579858022,0.8138413822020482
US_Fed_Funds_Rate,Nifty_Bank_Return,3,0.7763744816504387,0.5087451880395883
US_Fed_Funds_Rate,Nifty_IT_Return,1,1.1070079377927904,0.29422652037164293
US_Fed_Funds_Rate,Nifty_IT_Return,2,0.9512477421854661,0.3883415090420538
US_Fed_Funds_Rate,Nifty_IT_Return,3,0.933886687708622,0.4257379157582105
US_Fed_Funds_Rate,Nifty_Pharma_Return,1,0.00453196831725406,0.9464061485901992
US_Fed_Funds_Rate,Nifty_Pharma_Return,2,5.733524054283107,0.003905970606170445
US_Fed_Funds_Rate,Nifty_Pharma_Return,3,4.764690498358403,0.003271304542708823
US_Fed_Funds_Rate,Nifty_Auto_Return,1,0.0539263402842132,0.8166461071916148
US_Fed_Funds_Rate,Nifty_Auto_Return,2,1.1623434778309019,0.3152694194031334
US_Fed_Funds_Rate,Nifty_Auto_Return,3,1.3264563358521069,0.267598059136569
US_Fed_Funds_Rate,Nifty_FMCG_Return,1,1.1727015255721778,0.2803804236976073
US_Fed_Funds_Rate,Nifty_FMCG_Return,2,1.9689247385784063,0.14283434311191048
US_Fed_Funds_Rate,Nifty_FMCG_Return,3,1.535375205628938,0.2073134869990799
US_Fed_Funds_Rate,Nifty_Metal_Return,1,0.00027600586273410417,0.9867644968636297
US_Fed_Funds_Rate,Nifty_Metal_Return,2,0.42697727322021034,0.653188641973059
US_Fed_Funds_Rate,Nifty_Metal_Return,3,0.657454474795287,0.5793775730260086
US_Fed_Funds_Rate,Nifty_Realty_Return,1,0.09304883213898897,0.7607095416237719
US_Fed_Funds_Rate,Nifty_Realty_Return,2,0.07394947008889853,0.928749014776979
US_Fed_Funds_Rate,Nifty_Realty_Return,3,0.054865909118024435,0.9830289892896665
US_Fed_Funds_Rate,Nifty_Energy_Return,1,0.04356164882089323,0.8349211630200193
US_Fed_Funds_Rate,Nifty_Energy_Return,2,0.5003763774818728,0.6072084846021798
US_Fed_Funds_Rate,Nifty_Energy_Return,3,0.40352889525247276,0.7506533551566845
US_Fed_Funds_Rate,Nifty_Infra_Return,1,0.27316103647285295,0.6018996205482429
US_Fed_Funds_Rate,Nifty_Infra_Return,2,0.8144094690817144,0.44465193436362827
US_Fed_Funds_Rate,Nifty_Infra_Return,3,0.707552927875522,0.5487942248792875
US_Fed_Funds_Rate,Nifty_PSE_Return,1,1.4503983056782825,0.2301381199285475
US_Fed_Funds_Rate,Nifty_PSE_Return,2,0.8228089847646732,0.4409686733122883
US_Fed_Funds_Rate,Nifty_PSE_Return,3,0.6721639565976185,0.5702749383133264
US_Fed_Funds_Rate,Nifty_Media_Return,1,3.7890724014946513,0.053236566640772726
US_Fed_Funds_Rate,Nifty_Media_Return,2,2.0433089742331987,0.13282685760745438
US_Fed_Funds_Rate,Nifty_Media_Return,3,1.7388297049271664,0.16108064403532607
US_CPI,Nifty_50_Return,1,0.055295800101283356,0.8143748687890425
US_CPI,Nifty_50_Return,2,0.06427083553606631,0.9377741724783067
US_CPI,Nifty_50_Return,3,0.27736627533706454,0.8416743809806149
US_CPI,Nifty_Bank_Return,1,0.07136501824239973,0.7896833846893445
US_CPI,Nifty_Bank_Return,2,0.026423076755053693,0.9739270291100539
US_CPI,Nifty_Bank_Return,3,0.7990759561772669,0.49603955750607287
US_CPI,Nifty_IT_Return,1,1.4800973536308368,0.22544568076361846
US_CPI,Nifty_IT_Return,2,0.5821948870293518,0.5598006021390657
US_CPI,Nifty_IT_Return,3,1.4712569321372382,0.22431117442572626
US_CPI,Nifty_Pharma_Return,1,0.00015704560978357793,0.9900160393000342
US_CPI,Nifty_Pharma_Return,2,2.4921706636764087,0.08580282121464392
US_CPI,Nifty_Pharma_Return,3,1.81322991026324,0.14677231707830435
US_CPI,Nifty_Auto_Return,1,0.19868058993856366,0.6563550900014543
US_CPI,Nifty_Auto_Return,2,0.7764734542753812,0.4616789998125337
US_CPI,Nifty_Auto_Return,3,0.80548082948805,0.49250029729205336
US_CPI,Nifty_FMCG_Return,1,1.4624654507501893,0.2282173833780002
US_CPI,Nifty_FMCG_Return,2,0.8951395960692708,0.41050155572212443
US_CPI,Nifty_FMCG_Return,3,2.4441623214348747,0.06593456046111605
US_CPI,Nifty_Metal_Return,1,1.045262588446728,0.30805335763212205
US_CPI,Nifty_Metal_Return,2,0.8176973246050312,0.4432064870389851
US_CPI,Nifty_Metal_Return,3,0.8690491883987944,0.45845508566549154
US_CPI,Nifty_Realty_Return,1,0.12123405423139898,0.7281306779750356
US_CPI,Nifty_Realty_Return,2,0.10574121607730913,0.8997176210963431
US_CPI,Nifty_Realty_Return,3,0.5006685835989348,0.682336622061963
US_CPI,Nifty_Energy_Return,1,0.058524822361955844,0.8091344758930832
US_CPI,Nifty_Energy_Return,2,0.059546938654269306,0.942211303203202
US_CPI,Nifty_Energy_Return,3,0.13340555817046407,0.9400473170731327
US_CPI,Nifty_Infra_Return,1,0.8445535422568216,0.3593997863825875
US_CPI,Nifty_Infra_Return,2,0.7170462234169911,0.48968891235614886
US_CPI,Nifty_Infra_Return,3,0.5497303966965249,0.6490186089031922
US_CPI,Nifty_PSE_Return,1,2.338521310473845,0.12806789498999682
US_CPI,Nifty_PSE_Return,2,1.323325808066545,0.26902549571343753
US_CPI,Nifty_PSE_Return,3,1.0910707177445973,0.35454705499271455
US_CPI,Nifty_Media_Return,1,1.6099564866538218,0.20623249250023223
US_CPI,Nifty_Media_Return,2,0.7857986226376359,0.4574333098746241
US_CPI,Nifty_Media_Return,3,0.868316246131555,0.45883646131620515
US_10Y_Yield,Nifty_50_Return,1,0.5649132410945258,0.45332664275662143
US_10Y_Yield,Nifty_50_Return,2,1.3455882896313238,0.2631946479626193
US_10Y_Yield,Nifty_50_Return,3,0.9894156484238582,0.3992986144157854
US_10Y_Yield,Nifty_Bank_Return,1,0.14816937444408138,0.7007720926495947
US_10Y_Yield,Nifty_Bank_Return,2,0.6939167091468623,0.5010500768625116
US_10Y_Yield,Nifty_Bank_Return,3,0.5434417311732285,0.6532372744221155
US_10Y_Yield,Nifty_IT_Return,1,2.6620449990635624,0.10461963093545164
US_10Y_Yield,Nifty_IT_Return,2,1.3764558807686633,0.25532093829399166
US_10Y_Yield,Nifty_IT_Return,3,1.2530216973995947,0.29238321098530573
US_10Y_Yield,Nifty_Pharma_Return,1,0.15445793513853076,0.6948034760700642
US_10Y_Yield,Nifty_Pharma_Return,2,1.484568231678079,0.229575038534164
US_10Y_Yield,Nifty_Pharma_Return,3,1.3209134173847197,0.2693993596539554
US_10Y_Yield,Nifty_Auto_Return,1,0.08143396987021698,0.7757108463988576
US_10Y_Yield,Nifty_Auto_Return,2,0.6346718344417718,0.5313831464520454
US_10Y_Yield,Nifty_Auto_Return,3,0.3629001625096511,0.7798748857718805
US_10Y_Yield,Nifty_FMCG_Return,1,0.8737124669276926,0.3512554064793898
US_10Y_Yield,Nifty_FMCG_Return,2,2.343373187742239,0.0991528063835783
US_10Y_Yield,Nifty_FMCG_Return,3,2.4403756486365795,0.06625501907448923
US_10Y_Yield,Nifty_Metal_Return,1,0.11911999892555249,0.7304175466990385
US_10Y_Yield,Nifty_Metal_Return,2,0.04642926620810465,0.9546444010663753
US_10Y_Yield,Nifty_Metal_Return,3,0.46411207866329734,0.7077226137315593
US_10Y_Yield,Nifty_Realty_Return,1,0.0572754275125333,0.8111435376046303
US_10Y_Yield,Nifty_Realty_Return,2,0.4928163478013418,0.6117890498673938
US_10Y_Yield,Nifty_Realty_Return,3,0.242185160322001,0.8667990771344147
US_10Y_Yield,Nifty_Energy_Return,1,0.5068922953446257,0.4774631690247854
US_10Y_Yield,Nifty_Energy_Return,2,1.3849252371951972,0.2532025455138681
US_10Y_Yield,Nifty_Energy_Return,3,0.9035290933537379,0.4408061968082566
US_10Y_Yield,Nifty_Infra_Return,1,0.025287965923379705,0.8738403789027223
US_10Y_Yield,Nifty_Infra_Return,2,0.8967506108715765,0.40984777341254963
US_10Y_Yield,Nifty_Infra_Return,3,0.5478396974434043,0.6502852906225488
US_10Y_Yield,Nifty_PSE_Return,1,0.9987034698023649,0.3190447746508705
